comment_id,reply_to,user,text,likes,replies,date,liked_by_creator
7550321611943035703,,lord_finbar77,"Stopped eating sweets for a day. Then another day, then a week, then a month. Lost 50lbs from breaking my sweet addiction",50447,36,2025-09-15,True
7550360622040564511,,rae4767,"Decided to try dry January, been sober 2 years now 😁",9840,33,2025-09-15,True
7550371135755469598,,sistercarol52,I started walking one day. Realized I enjoyed it. Kept walking several times a week. The started an exercise program and cleaned up my diet. Lost 60 pounds,8590,19,2025-09-15,True
7549999540528972599,,jessicaphillymyk,Start taking care of my health. Lost 200lbs and running 5k’s. Life has been amazing❤,2932,3,2025-09-14,True
7550532251131822862,,zipit254,"got ask to run for local judge seat, decided to go for it. Won the election, and have the distinct honor of being the first and only female hispanic JP in our county.",1844,17,2025-09-16,False
7550440488870331167,,keyystyles2,"So apply for a job on a whim, tinder…? Bar…?? Gym?? Make my bed.. what else?? I love this for the collective!",1685,14,2025-09-15,False
7550410219828314911,,noshelfcontrolwithjess,"Got tired of being depressed and self destructive all the time. Made an appointment with a psychiatrist and it changed my whole life. Lost weight, got ahold of my mental health and live a much more peaceful life 🙌🏻",851,13,2025-09-15,True
7550535936933790495,,taesworld69,Started eating healthy. Do Pilates and changed my whole lifestyle. Lost over 70 pounds. I was a recluse before this just wasting my 20s away til I said no more.,825,6,2025-09-16,False
7550303242962551583,,bsav1118,Ozempic Jan 1. Down over 120lbs and never felt better. Dang pregnancy weight was literally ruining my will to live. I feel alive again,489,10,2025-09-15,True
7550451346450055991,,amber107192,"It didn’t change my life but- I stopped at Dairy Queen on a Saturday on the way home from work but when I got in the parking lot I just got an uneasy feeling. I decided to just go home and didn’t get ice cream. I ended up being the only car waiting at an intersection red light where a serious car accident happened. Driver flew head first into the passenger side dash and was bleeding profusely from a head wound and choking simultaneously (eating a hamburger). I just so happen to be an RN so I was able to stop the choking and the bleeding. I was the only person on scene that knew what to do (not bragging, it’s just an unfortunate fact) until the ambulance arrived 10 minutes later. He would’ve been gone by then 😭. They life-flighted him and he was released from ICU 2 days later!! So many things lined up perfectly for me to be there at that time. I don’t normally work on Saturdays, I stopped for groceries even though I was exchausted, decided to leave DQ, etc. Gives me chills every time I think about it 🩵",470,14,2025-09-15,True
7550263365052039949,,jackieyaamaa,"Showed up to vball open gym for a friend and 4 years later had a full ride to a D1 school, 3 NCAA appearances, 2 ACC championships. God bless my high school coach!",463,1,2025-09-15,False
7550315364975444767,,mellykylene,Called in too much at work and got fired and got a better job and stopped alcohol.👍😁👍,403,4,2025-09-15,False
7550428914080334605,7550322519024583438,minniemovingmountains,"I was a pshyc nurse for 15 years, and all it took was for me to get very very badly injured by the hands of a patient, and when it was reported, they told me to just take an extra lunch break, and walk it off. I took of my badge right then and there.",360,0,2025-09-15,False
7550444478001627935,,javenity_skincare,Making a body butter to help my sone with itchy skin but it actually cleared his eczema! I turned it into a business. 🤎🤎🤎,328,2,2025-09-15,False
